player_id,player,season,age,pts_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,x2p_percent,x3p_percent,ft_percent,x3p_ar,f_tr,usg_percent,orb_percent,drb_percent,ows,dws,obpm,dbpm,all_nba
garneke01,Kevin Garnett,2015,38.0,6.9,6.6,1.6,1.0,0.4,0.475,0.143,0.8,0.023,0.147,17.8,5.7,31.1,0.4,1.5,-1.2,1.9,0
gasolma01,Marc Gasol,2015,30.0,17.4,7.8,3.8,0.9,1.6,0.5,0.176,0.795,0.016,0.41,24.6,4.9,21.8,5.5,4.7,2.7,2.4,1
gasolpa01,Pau Gasol,2015,34.0,18.5,11.8,2.7,0.3,1.9,0.495,0.462,0.803,0.023,0.317,24.7,9.2,27.6,6.0,4.4,2.9,0.6,1
gayru01,Rudy Gay,2015,28.0,21.1,5.9,3.7,1.0,0.6,0.479,0.359,0.858,0.197,0.352,27.0,4.8,13.7,4.8,1.3,3.4,-0.7,0
geeal01,Alonzo Gee,2015,27.0,4.5,1.7,0.5,0.6,0.1,0.49,0.371,0.701,0.188,0.414,16.7,5.9,9.5,0.6,0.6,-1.3,0.7,0
gibsota01,Taj Gibson,2015,29.0,10.3,6.4,1.1,0.6,1.2,0.502,0.0,0.717,0.0,0.364,17.6,10.7,14.6,2.7,2.1,-0.5,0.1,0
ginobma01,Manu Ginóbili,2015,37.0,10.5,3.0,4.2,1.0,0.3,0.489,0.345,0.721,0.438,0.346,23.9,2.0,12.8,1.4,2.3,0.9,0.9,0
goberru01,Rudy Gobert,2015,22.0,8.4,9.5,1.3,0.8,2.3,0.607,0.0,0.623,0.005,0.639,14.0,14.3,27.2,5.0,4.3,1.7,2.5,0
goodedr01,Drew Gooden,2015,33.0,5.4,4.4,1.0,0.4,0.2,0.401,0.39,0.773,0.214,0.159,17.0,9.6,19.3,0.5,1.2,-1.5,0.1,0
gordoaa01,Aaron Gordon,2015,19.0,5.2,3.6,0.7,0.4,0.5,0.5,0.271,0.721,0.231,0.293,15.5,6.4,17.8,0.3,0.7,-2.6,-0.1,0
gordobe01,Ben Gordon,2015,31.0,6.2,1.1,0.9,0.3,0.0,0.475,0.361,0.836,0.329,0.227,21.8,0.8,8.3,0.1,0.2,-2.0,-2.2,0
gordoer01,Eric Gordon,2015,26.0,13.4,2.6,3.8,0.8,0.2,0.38,0.448,0.805,0.454,0.192,19.8,1.6,7.4,2.2,0.7,0.2,-1.2,0
